semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7660,60428,FINM7407,Case Study Assignment,"LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60428,FINM7407,Final Exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7520,20307,FINM7409,Final Exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7460 (scraped): the 7520 profile shows LO1, LO3, LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60073,FINM7805,A1: Oral Presentation,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60073,FINM7805,A2: Financial Evaluation,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60175,FINM7805,A1: Oral Presentation,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60175,FINM7805,A2: Financial Evaluation,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60436,IBUS2301,Company Pitches,"LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60436,IBUS2301,Evaluations,LO4,"Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60436,IBUS2301,Case Study (Special Topics),"LO1, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60436,IBUS2301,Final Exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60437,IBUS2309,Cross-Cultural Incident Analysis,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62574,IBUS3310,Case Study Presentation & Evaluations,"LO1, LO2, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62574,IBUS3310,Company analysis,"LO1, LO2, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60439,IBUS7302,In-Semester Exam,"LO1, LO2, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60439,IBUS7302,Topic Analysis Assignment,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60439,IBUS7302,Final Exam,"LO1, LO2, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
